Project;Date;Source;Target
bootstrap;01.01.2015;Chris Rebert;bootstrap/scss/_mixins.scss
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.css.map
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.min.css
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/Gruntfile.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/LICENSE
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/README.md
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/affix.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/alert.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/button.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/carousel.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/collapse.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/dropdown.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/modal.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/popover.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/scrollspy.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/tab.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/tooltip.js
bootstrap;01.01.2015;Zlatan Vasović;bootstrap/js/transition.js
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap-theme.css
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap-theme.min.css
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.css
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.min.css
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/js/bootstrap.js
bootstrap;01.01.2015;Bootstrap's Grunt bot;bootstrap/dist/js/bootstrap.min.js
bootstrap;31.12.2014;Mark Otto;bootstrap/docs/layout/grid.md
bootstrap;31.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css
bootstrap;31.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.css.map
bootstrap;31.12.2014;Mark Otto;bootstrap/dist/css/bootstrap.min.css
bootstrap;31.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css
bootstrap;31.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.css.map
bootstrap;31.12.2014;Mark Otto;bootstrap/docs/dist/css/bootstrap.min.css
bootstrap;31.12.2014;Mark Otto;bootstrap/scss/_jumbotron.scss
bootstrap;31.12.2014;Mark Otto;bootstrap/scss/_scaffolding.scss
bootstrap;31.12.2014;Mark Otto;bootstrap/docs/components/jumbotron.md
bootstrap;31.12.2014;Mark Otto;bootstrap/scss/_jumbotron.scss
bootstrap;31.12.2014;Mark Otto;bootstrap/scss/_custom-forms.scss
bootstrap;30.12.2014;Nate Eagleson;bootstrap/docs/_includes/getting-started/disabling-responsiveness.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/_includes/getting-started/download.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/_includes/css/tables.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/javascript/carousel.md
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/getting-started/third-party-support.md
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/index.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/_includes/js/overview.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/_includes/nav/javascript.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/getting-started/support.md
bootstrap;15.12.2014;Chris Rebert;bootstrap/Gruntfile.js
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/content/tables.md
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/javascript/overview.md
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/components/card.md
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/examples/album/index.html
bootstrap;30.12.2014;Chris Rebert;bootstrap/docs/examples/navbar-top/index.html
