Id,Label,size,modularity_class,organization,clustering,triangles,degree,color,Size,Color
9,Alphabet,1145,4,Alphabet,43544,1850,293,"#F00000",100,"#f00000"
83,Intel,94,1,Intel,204264,1073,104,"#FFC000",17.316433,"#ffc000"
39,Meta,90,1,Meta,155734,387,72,"#FFFF00",17.001749,"#ffff00"
80,Nvidia,65,4,Nvidia,255618,1001,90,"#47D359",15.034966,"#47d359"
82,IBM,48,4,IBM,125933,1333,147,"#00B050",13.697553,"#00b050"
84,ARM,47,1,ARM,241441,670,76,"#0070C0",13.618881,"#0070c0"
79,AMD,28,4,AMD,28642,928,82,"#7030A0",12.124125,"#7030a0"
37,Alibaba,22,1,Alibaba,282291,483,60,"#777777",11.652098,"#777777"
71,Microsoft,21,1,Microsoft,286316,816,77,"#BFBFBF",11.573426,"#bfbfbf"
27,Naver,16,1,Naver,366184,379,47,"#BFBFBF",11.18007,"#bfbfbf"
85,Huawei,12,1,Huawei,242456,691,77,"#BFBFBF",10.865385,"#bfbfbf"
97,Amazon,12,1,Amazon,52561,431,42,"#BFBFBF",10.865385,"#bfbfbf"
93,graphcore,10,4,graphcore,669312,253,29,"#BFBFBF",10.708042,"#bfbfbf"
124,bytedance,8,4,bytedance,593093,395,38,"#BFBFBF",10.550699,"#bfbfbf"
104,Antmicro,7,1,Antmicro,633333,76,17,"#BFBFBF",10.472028,"#bfbfbf"
106,polymagelabs,7,4,polymagelabs,608187,104,20,"#BFBFBF",10.472028,"#bfbfbf"
189,users,7,1,users,711823,289,29,"#BFBFBF",10.472028,"#bfbfbf"
1,Orange,6,0,Orange,308824,42,18,"#BFBFBF",10.393356,"#bfbfbf"
26,Berkeley,6,1,Berkeley,601732,139,22,"#BFBFBF",10.393356,"#bfbfbf"
91,tencent,6,1,tencent,689231,224,26,"#BFBFBF",10.393356,"#bfbfbf"
111,dfki,6,4,dfki,578947,110,21,"#BFBFBF",10.393356,"#bfbfbf"
86,linaro,5,1,linaro,424185,677,58,"#BFBFBF",10.314685,"#bfbfbf"
110,snu,5,1,snu,268968,631,70,"#BFBFBF",10.314685,"#bfbfbf"
140,gatech,5,4,gatech,892857,25,8,"#BFBFBF",10.314685,"#bfbfbf"
166,spotify,5,4,spotify,75,27,9,"#BFBFBF",10.314685,"#bfbfbf"
220,mit,5,1,mit,911765,124,17,"#BFBFBF",10.314685,"#bfbfbf"
77,tensorflow,4,4,tensorflow,58414,1746,246,"#BFBFBF",10.236014,"#bfbfbf"
165,cs,4,4,cs,835165,76,14,"#BFBFBF",10.236014,"#bfbfbf"
167,cadence,4,1,cadence,742857,78,16,"#BFBFBF",10.236014,"#bfbfbf"
181,pku,4,4,pku,75641,59,14,"#BFBFBF",10.236014,"#bfbfbf"
196,cerebras,4,1,cerebras,842105,160,20,"#BFBFBF",10.236014,"#bfbfbf"
216,uber,4,4,uber,854545,47,11,"#BFBFBF",10.236014,"#bfbfbf"
230,samsung,4,1,samsung,897436,70,13,"#BFBFBF",10.236014,"#bfbfbf"
305,iqt,4,4,iqt,8,12,6,"#BFBFBF",10.236014,"#bfbfbf"
35,Bytedance,3,4,Bytedance,666667,2,3,"#BFBFBF",10.157343,"#bfbfbf"
63,Mit,3,1,Mit,638889,23,9,"#BFBFBF",10.157343,"#bfbfbf"
89,bdti,3,1,bdti,669118,91,18,"#BFBFBF",10.157343,"#bfbfbf"
134,kth,3,4,kth,822222,37,10,"#BFBFBF",10.157343,"#bfbfbf"
156,capgemini,3,4,capgemini,892857,25,8,"#BFBFBF",10.157343,"#bfbfbf"
159,nod-labs,3,1,nod-labs,67033,61,14,"#BFBFBF",10.157343,"#bfbfbf"
160,linkedin,3,4,linkedin,1,45,10,"#BFBFBF",10.157343,"#bfbfbf"
161,edgeimpulse,3,1,edgeimpulse,802198,73,14,"#BFBFBF",10.157343,"#bfbfbf"
174,iith,3,1,iith,857143,180,21,"#BFBFBF",10.157343,"#bfbfbf"
175,criteo,3,1,criteo,747253,68,14,"#BFBFBF",10.157343,"#bfbfbf"
250,dropbox,3,4,dropbox,1,36,9,"#BFBFBF",10.157343,"#bfbfbf"
300,ntu,3,1,ntu,977778,44,10,"#BFBFBF",10.157343,"#bfbfbf"
6,Kobalt,2,0,Kobalt,333333,1,3,"#BFBFBF",10.078671,"#bfbfbf"
22,oppo,2,4,oppo,366667,44,16,"#BFBFBF",10.078671,"#bfbfbf"
24,Canonical,2,4,Canonical,666667,2,4,"#BFBFBF",10.078671,"#bfbfbf"
34,manabie,2,4,manabie,7,7,5,"#BFBFBF",10.078671,"#bfbfbf"
45,Twitter,2,1,Twitter,857143,18,7,"#BFBFBF",10.078671,"#bfbfbf"
67,Adobe,2,1,Adobe,0,0,1,"#BFBFBF",10.078671,"#bfbfbf"
70,Shopify,2,1,Shopify,1,1,2,"#BFBFBF",10.078671,"#bfbfbf"
76,Apple,2,1,Apple,623529,371,35,"#BFBFBF",10.078671,"#bfbfbf"
88,RedHat,2,1,RedHat,520918,386,40,"#BFBFBF",10.078671,"#bfbfbf"
99,nyu,2,4,nyu,861905,181,21,"#BFBFBF",10.078671,"#bfbfbf"
107,fau,2,1,fau,699346,107,18,"#BFBFBF",10.078671,"#bfbfbf"
109,Ambiqmicro,2,4,Ambiqmicro,113751,1393,158,"#BFBFBF",10.078671,"#bfbfbf"
114,rutgers,2,1,rutgers,838235,114,17,"#BFBFBF",10.078671,"#bfbfbf"
119,nxp,2,4,nxp,590909,39,13,"#BFBFBF",10.078671,"#bfbfbf"
120,ispras,2,1,ispras,977778,44,10,"#BFBFBF",10.078671,"#bfbfbf"
122,shopify,2,1,shopify,713978,332,31,"#BFBFBF",10.078671,"#bfbfbf"
