Source,Target,Type,Id,Label,Weight,size,Color
9,9,Undirected,3,,15768951,121017,"#999999"
39,39,Undirected,5,,300577,929,"#999999"
89,9,Undirected,7,,10410,265,"#999999"
77,77,Undirected,8,,378425,7,"#999999"
9,78,Undirected,9,,212546,657,"#999999"
17,77,Undirected,10,,1,1,"#999999"
82,77,Undirected,12,,73694,88,"#999999"
1,1,Undirected,34,,405,9,"#999999"
1,2,Undirected,35,,412,4,"#999999"
1,3,Undirected,36,,32,4,"#999999"
1,4,Undirected,37,,15,3,"#999999"
1,5,Undirected,38,,21,2,"#999999"
1,6,Undirected,39,,16,3,"#999999"
1,8,Undirected,40,,12,3,"#999999"
1,9,Undirected,41,,26,5,"#999999"
1,11,Undirected,42,,21,3,"#999999"
1,12,Undirected,43,,19,3,"#999999"
1,14,Undirected,44,,1,1,"#999999"
1,16,Undirected,45,,37,3,"#999999"
1,19,Undirected,46,,5,2,"#999999"
1,20,Undirected,47,,5,2,"#999999"
1,15,Undirected,48,,6,2,"#999999"
2,3,Undirected,49,,1,1,"#999999"
2,4,Undirected,50,,2,1,"#999999"
2,9,Undirected,51,,19,1,"#999999"
2,11,Undirected,52,,19,1,"#999999"
2,12,Undirected,53,,20,1,"#999999"
2,14,Undirected,54,,1,1,"#999999"
2,16,Undirected,55,,44,1,"#999999"
1,7,Undirected,56,,2,1,"#999999"
3,5,Undirected,57,,34,1,"#999999"
3,9,Undirected,58,,2,1,"#999999"
3,10,Undirected,59,,2,1,"#999999"
3,12,Undirected,60,,1,1,"#999999"
3,14,Undirected,61,,1,1,"#999999"
3,19,Undirected,62,,3,1,"#999999"
3,20,Undirected,63,,1,1,"#999999"
1,13,Undirected,64,,1,1,"#999999"
4,6,Undirected,65,,1,1,"#999999"
5,9,Undirected,66,,1,1,"#999999"
5,10,Undirected,67,,4,1,"#999999"
5,19,Undirected,68,,4,1,"#999999"
5,20,Undirected,69,,1,1,"#999999"
5,21,Undirected,70,,1,1,"#999999"
9,11,Undirected,71,,1,1,"#999999"
9,12,Undirected,72,,1,1,"#999999"
9,16,Undirected,73,,2,1,"#999999"
9,19,Undirected,74,,1,1,"#999999"
9,20,Undirected,75,,1,1,"#999999"
10,19,Undirected,76,,1,1,"#999999"
11,12,Undirected,77,,1,1,"#999999"
11,16,Undirected,78,,2,1,"#999999"
12,14,Undirected,79,,1,1,"#999999"
12,16,Undirected,80,,2,1,"#999999"
19,20,Undirected,81,,1,1,"#999999"
9,37,Undirected,86,,13984,1008,"#999999"
9,27,Undirected,87,,3573,506,"#999999"
9,36,Undirected,88,,259,36,"#999999"
9,34,Undirected,89,,206,44,"#999999"
9,31,Undirected,90,,308,38,"#999999"
9,30,Undirected,91,,306,40,"#999999"
9,25,Undirected,92,,71,5,"#999999"
9,24,Undirected,93,,1080,71,"#999999"
9,23,Undirected,94,,1996,80,"#999999"
9,29,Undirected,97,,2715,48,"#999999"
9,32,Undirected,98,,806,50,"#999999"
9,26,Undirected,99,,1279,249,"#999999"
9,35,Undirected,100,,1468,88,"#999999"
9,22,Undirected,104,,18526,91,"#999999"
9,33,Undirected,106,,450,38,"#999999"
9,38,Undirected,110,,65,16,"#999999"
9,28,Undirected,111,,379,29,"#999999"
22,27,Undirected,114,,20,1,"#999999"
22,33,Undirected,115,,16,1,"#999999"
22,31,Undirected,116,,8,1,"#999999"
22,38,Undirected,117,,3,1,"#999999"
22,26,Undirected,118,,77,1,"#999999"
22,30,Undirected,119,,8,1,"#999999"
22,28,Undirected,120,,15,1,"#999999"
22,29,Undirected,121,,69,1,"#999999"
22,23,Undirected,122,,26,1,"#999999"
22,37,Undirected,123,,8,3,"#999999"
23,27,Undirected,124,,1,1,"#999999"
23,28,Undirected,125,,1,1,"#999999"
23,29,Undirected,126,,5,1,"#999999"
23,30,Undirected,127,,1,1,"#999999"
23,33,Undirected,128,,1,1,"#999999"
23,37,Undirected,129,,4,2,"#999999"
24,24,Undirected,130,,2,1,"#999999"
26,34,Undirected,131,,1,1,"#999999"
24,35,Undirected,132,,3,1,"#999999"
29,31,Undirected,133,,3,1,"#999999"
29,33,Undirected,134,,5,1,"#999999"
29,34,Undirected,135,,3,1,"#999999"
33,38,Undirected,136,,2,1,"#999999"
39,43,Undirected,139,,216,6,"#999999"
39,40,Undirected,140,,4129,36,"#999999"
39,55,Undirected,145,,353,22,"#999999"
39,54,Undirected,147,,74,16,"#999999"
39,68,Undirected,150,,319,25,"#999999"
39,66,Undirected,153,,4,2,"#999999"
39,49,Undirected,154,,1198,33,"#999999"
39,37,Undirected,157,,7,3,"#999999"
39,26,Undirected,158,,10,3,"#999999"
39,42,Undirected,159,,9179,32,"#999999"
39,41,Undirected,160,,4226,35,"#999999"
39,27,Undirected,161,,237,19,"#999999"
39,57,Undirected,164,,34,5,"#999999"
39,76,Undirected,168,,15,5,"#999999"
39,21,Undirected,169,,53,9,"#999999"
39,75,Undirected,171,,11,5,"#999999"
39,9,Undirected,172,,8935,355,"#999999"
39,72,Undirected,178,,45,3,"#999999"
39,70,Undirected,179,,52,9,"#999999"
39,51,Undirected,180,,64,4,"#999999"
39,71,Undirected,181,,70,12,"#999999"
39,56,Undirected,182,,17,6,"#999999"
39,20,Undirected,185,,381,27,"#999999"
39,47,Undirected,186,,86,7,"#999999"
39,45,Undirected,187,,34,10,"#999999"
39,52,Undirected,189,,14,5,"#999999"
39,73,Undirected,192,,601,26,"#999999"
39,46,Undirected,193,,263,7,"#999999"
39,50,Undirected,194,,73,5,"#999999"
39,53,Undirected,196,,129,17,"#999999"
39,69,Undirected,197,,26,12,"#999999"
39,60,Undirected,198,,26,2,"#999999"
39,58,Undirected,199,,64,11,"#999999"
39,48,Undirected,200,,337,2,"#999999"
39,74,Undirected,201,,1,1,"#999999"
39,67,Undirected,204,,101,11,"#999999"
39,64,Undirected,205,,4,1,"#999999"
39,65,Undirected,206,,19,2,"#999999"
39,6,Undirected,207,,5,3,"#999999"
39,63,Undirected,210,,2,1,"#999999"
39,62,Undirected,212,,2,1,"#999999"
40,72,Undirected,213,,5,1,"#999999"
40,57,Undirected,214,,6,1,"#999999"
40,55,Undirected,215,,4,1,"#999999"
40,54,Undirected,216,,1,1,"#999999"
40,53,Undirected,217,,6,1,"#999999"
40,42,Undirected,218,,4,1,"#999999"
40,41,Undirected,219,,30,1,"#999999"
40,63,Undirected,220,,1,1,"#999999"
40,50,Undirected,221,,4,1,"#999999"
39,35,Undirected,223,,8,3,"#999999"
42,21,Undirected,224,,1,1,"#999999"
39,44,Undirected,225,,20,3,"#999999"
42,73,Undirected,226,,27,1,"#999999"
42,20,Undirected,227,,27,1,"#999999"
41,73,Undirected,228,,4,1,"#999999"
41,9,Undirected,229,,14,1,"#999999"
41,43,Undirected,230,,5,1,"#999999"
41,68,Undirected,231,,2,1,"#999999"
43,55,Undirected,233,,16,1,"#999999"
42,49,Undirected,234,,27,1,"#999999"
41,42,Undirected,235,,62,1,"#999999"
42,68,Undirected,236,,27,1,"#999999"
41,20,Undirected,237,,2,1,"#999999"
41,49,Undirected,238,,9,1,"#999999"
52,55,Undirected,239,,3,1,"#999999"
52,56,Undirected,240,,1,1,"#999999"
20,52,Undirected,241,,4,1,"#999999"
45,56,Undirected,242,,1,1,"#999999"
20,68,Undirected,243,,1,1,"#999999"
49,73,Undirected,244,,3,1,"#999999"
26,55,Undirected,245,,5,1,"#999999"
20,73,Undirected,246,,1,1,"#999999"
45,9,Undirected,247,,1,1,"#999999"
20,55,Undirected,248,,44,1,"#999999"
45,20,Undirected,249,,4,1,"#999999"
45,55,Undirected,250,,6,1,"#999999"
45,76,Undirected,251,,1,1,"#999999"
45,52,Undirected,252,,1,1,"#999999"
52,9,Undirected,253,,1,1,"#999999"
49,68,Undirected,254,,1,1,"#999999"
49,58,Undirected,255,,1,1,"#999999"
9,49,Undirected,256,,8,1,"#999999"
49,70,Undirected,257,,1,1,"#999999"
49,20,Undirected,258,,1,1,"#999999"
20,56,Undirected,259,,3,1,"#999999"
51,55,Undirected,260,,1,1,"#999999"
9,73,Undirected,261,,4,1,"#999999"
20,37,Undirected,262,,2,1,"#999999"
55,56,Undirected,263,,19,1,"#999999"
55,37,Undirected,264,,11,2,"#999999"
55,61,Undirected,265,,5,1,"#999999"
55,63,Undirected,266,,2,1,"#999999"
