Id,Label,color,Degree,Size,Color
Alibaba,,"#000000",1,4.266667,"#000000"
Alphabet,,"#F00000",7,23.866667,"#f00000"
Apple,,"#000000",2,7.533334,"#000000"
Atlassian,,"#000000",1,4.266667,"#000000"
Berkeley,,"#000000",1,4.266667,"#000000"
Captialone,,"#000000",2,7.533334,"#000000"
Cern,,"#000000",4,14.066668,"#000000"
Citrix,,"#000000",2,7.533334,"#000000"
Cm4all,,"#000000",0,1,"#000000"
Codelab,,"#000000",0,1,"#000000"
Conceptcoding,,"#000000",2,7.533334,"#000000"
Equin,,"#000000",1,4.266667,"#000000"
Hyperscience,,"#000000",1,4.266667,"#000000"
Idealist,,"#000000",1,4.266667,"#000000"
Khanacademy,,"#000000",1,4.266667,"#000000"
Meta,,"#FFFF00",15,50,"#ffff00"
Near,,"#000000",4,14.066668,"#000000"
NoredLink,,"#000000",0,1,"#000000"
Palantir,,"#000000",0,1,"#000000"
RedHat,,"#000000",4,14.066668,"#000000"
Socialtables,,"#000000",1,4.266667,"#000000"
Solcon,,"#000000",0,1,"#000000"
Stanford,,"#000000",2,7.533334,"#000000"
Synapsestudios,,"#000000",2,7.533334,"#000000"
Tensorflow,,"#FFC000",6,20.6,"#ffc000"
Thoughtbot,,"#000000",0,1,"#000000"
Twitter,,"#000000",3,10.8,"#000000"
VCNC,,"#000000",0,1,"#000000"
Webflow,,"#000000",1,4.266667,"#000000"
Whimsical,,"#000000",2,7.533334,"#000000"
