Id,Label,color,Size,Color
Ensostudio,,"#000000",1.784,"#000000"
Kobalt,,"#000000",1.784,"#000000"
Orange,,"#000000",3.352,"#000000"
Ingenious,,"#000000",1.392,"#000000"
Ualberta,,"#000000",1.784,"#000000"
Alphabet,,"#F00000",50,"#f00000"
berkeley,,"#000000",2.176,"#000000"
Oppo,,"#000000",2.568,"#000000"
uwaterloo,,"#000000",1.784,"#000000"
canonical,,"#000000",2.96,"#000000"
manabie,,"#000000",1.784,"#000000"
naver,,"#000000",4.528,"#000000"
oppo,,"#000000",2.96,"#000000"
Alibaba,,"#000000",2.568,"#000000"
Sharezone,,"#000000",2.176,"#000000"
diagnosia,,"#000000",1.784,"#000000"
Naver,,"#000000",2.568,"#000000"
Sage,,"#000000",2.568,"#000000"
Bytedance,,"#000000",2.176,"#000000"
Meta,,"#FFFF00",5.312,"#ffff00"
Cyntler,,"#000000",1.784,"#000000"
Shopify,,"#000000",1.784,"#000000"
Lectra,,"#000000",2.568,"#000000"
Tracxn,,"#000000",1.784,"#000000"
Kensho,,"#000000",1.784,"#000000"
Adobe,,"#000000",1.784,"#000000"
Tensorflow,,"#FFC000",37.848,"#ffc000"
arm,,"#000000",15.504,"#000000"
Intel,,"#00B050",14.72,"#00b050"
Nvidia,,"#47D359",14.328001,"#47d359"
tu-dresden,,"#000000",8.056,"#000000"
IBM,,"#7030A0",18.247999,"#7030a0"
nxp,,"#000000",4.528,"#000000"
cadence,,"#000000",6.88,"#000000"
MobileIron,,"#0070C0",16.68,"#0070c0"
bdti,,"#000000",6.88,"#000000"
ARM,,"#000000",6.096,"#000000"
xtech,,"#000000",5.312,"#000000"
Microsoft,,"#000000",6.88,"#000000"
AMD,,"#777777",11.192,"#777777"
linaro,,"#000000",6.88,"#000000"
Apple,,"#000000",5.312,"#000000"
nyu,,"#000000",5.312,"#000000"
habana,,"#000000",2.568,"#000000"
instadeep,,"#000000",3.352,"#000000"
amazon,,"#000000",8.84,"#000000"
alibaba-inc,,"#000000",3.744,"#000000"
Polymagelabs,,"#000000",5.704,"#000000"
tencent,,"#000000",5.704,"#000000"
uvic,,"#000000",4.136,"#000000"
graphcore,,"#000000",4.136,"#000000"
dfki,,"#000000",6.88,"#000000"
systrangroup,,"#000000",4.528,"#000000"
cerebras,,"#000000",4.136,"#000000"
nsec,,"#000000",4.136,"#000000"
maxar,,"#000000",4.92,"#000000"
fraunhofer,,"#000000",4.136,"#000000"
snu,,"#000000",3.744,"#000000"
calpoly,,"#000000",3.352,"#000000"
sunoru,,"#000000",2.568,"#000000"
legatohealth,,"#000000",5.312,"#000000"
pku,,"#000000",1.784,"#000000"
bytedance,,"#000000",3.352,"#000000"
peritiae,,"#000000",3.744,"#000000"
noble,,"#000000",3.352,"#000000"
mercateo,,"#000000",2.568,"#000000"
scortex,,"#000000",3.744,"#000000"
inailuig,,"#000000",2.568,"#000000"
uwo,,"#000000",2.568,"#000000"
tum,,"#000000",3.352,"#000000"
northvolt,,"#000000",3.352,"#000000"
hi,,"#000000",2.96,"#000000"
stylight,,"#000000",2.96,"#000000"
victech,,"#000000",1.784,"#000000"
mercury,,"#000000",2.96,"#000000"
iith,,"#000000",4.528,"#000000"
users,,"#000000",4.528,"#000000"
sony,,"#000000",4.136,"#000000"
espressif,,"#000000",4.92,"#000000"
antmicro,,"#000000",7.664001,"#000000"
synopsys,,"#000000",8.056,"#000000"
himax,,"#000000",5.704,"#000000"
yahoo,,"#000000",4.136,"#000000"
xmos,,"#000000",2.96,"#000000"
edgeimpulse,,"#000000",5.704,"#000000"
sensiml,,"#000000",4.92,"#000000"
microsoft,,"#000000",3.352,"#000000"
bmsce,,"#000000",2.96,"#000000"
illinois,,"#000000",2.568,"#000000"
rutgers,,"#000000",3.352,"#000000"
nod-labs,,"#000000",3.744,"#000000"
linkedin,,"#000000",3.352,"#000000"
scu,,"#000000",2.176,"#000000"
dropbox,,"#000000",2.568,"#000000"
iisc,,"#000000",2.96,"#000000"
broadcom,,"#000000",6.096,"#000000"
eyedea,,"#000000",1.784,"#000000"
artec-group,,"#000000",3.744,"#000000"
