Source,Target,Type,Id,Label,Weight,color,Color
Kobalt,Orange,Undirected,343,,5,"#000000","#000000"
Kobalt,Ensostudio,Undirected,345,,1,"#000000","#000000"
Orange,Orange,Undirected,349,,237,"#000000","#000000"
Orange,Collabora,Undirected,350,,2,"#000000","#000000"
Orange,Ensostudio,Undirected,351,,10,"#000000","#000000"
Alphabet,Alphabet,Undirected,352,,92648,"#000000","#000000"
Alphabet,Oppo,Undirected,355,,1822,"#000000","#000000"
Alphabet,Canonical,Undirected,357,,20,"#000000","#000000"
Alphabet,Zulip,Undirected,359,,435,"#000000","#000000"
Oppo,Zulip,Undirected,361,,14,"#000000","#000000"
Alphabet,berkeley,Undirected,365,,70,"#000000","#000000"
Oppo,berkeley,Undirected,367,,27,"#000000","#000000"
Alphabet,manabie,Undirected,368,,30,"#000000","#000000"
Alphabet,twinsunsolutions,Undirected,370,,743,"#000000","#000000"
Oppo,twinsunsolutions,Undirected,372,,12,"#000000","#000000"
Zulip,twinsunsolutions,Undirected,373,,2,"#000000","#000000"
manabie,twinsunsolutions,Undirected,374,,3,"#000000","#000000"
Alphabet,Bytedance,Undirected,375,,345,"#000000","#000000"
Alphabet,Samsung,Undirected,377,,28,"#000000","#000000"
Alphabet,NYU,Undirected,379,,90,"#000000","#000000"
Oppo,NYU,Undirected,381,,3,"#000000","#000000"
twinsunsolutions,NYU,Undirected,382,,3,"#000000","#000000"
Naver,Meta,Undirected,386,,7,"#000000","#000000"
Meta,Meta,Undirected,387,,10865,"#000000","#000000"
Meta,isquaredsoftware.com,Undirected,389,,221,"#000000","#000000"
Meta,Shopify,Undirected,391,,9,"#000000","#000000"
Meta,Kensho,Undirected,393,,28,"#000000","#000000"
isquaredsoftware.com,Kensho,Undirected,394,,1,"#000000","#000000"
Meta,codesandbox.io,Undirected,396,,50,"#000000","#000000"
isquaredsoftware.com,codesandbox.io,Undirected,397,,1,"#000000","#000000"
Meta,Callstack,Undirected,399,,12,"#000000","#000000"
