Source,Target,Type,Id,Label,Weight,color,Color
Liferay,Orange,Undirected,5,,1,"#000000","#000000"
Liferay,Alphabet,Undirected,6,,18,"#000000","#000000"
Liferay,Hmudesign,Undirected,7,,42,"#000000","#000000"
Alphabet,Hmudesign,Undirected,8,,2,"#000000","#000000"
Alphabet,Alphabet,Undirected,9,,315973,"#000000","#000000"
Meta,Meta,Undirected,14,,44114,"#000000","#000000"
Meta,Sberbank,Undirected,15,,216,"#000000","#000000"
Meta,Parse,Undirected,16,,207,"#000000","#000000"
Mit,Meta,Undirected,19,,2,"#000000","#000000"
Mit,Whimsical,Undirected,20,,1,"#000000","#000000"
Mit,Parse,Undirected,22,,2,"#000000","#000000"
Meta,Whimsical,Undirected,24,,2274,"#000000","#000000"
Meta,Webflow,Undirected,25,,2784,"#000000","#000000"
Meta,Ardentacademy,Undirected,26,,64,"#000000","#000000"
Meta,Practo,Undirected,27,,11,"#000000","#000000"
Meta,Originate,Undirected,28,,16,"#000000","#000000"
Meta,Github,Undirected,29,,7,"#000000","#000000"
Meta,Zeuss,Undirected,30,,4,"#000000","#000000"
Meta,Hendeca,Undirected,31,,15,"#000000","#000000"
Meta,Columbia,Undirected,32,,6,"#000000","#000000"
Meta,Alibaba,Undirected,33,,2,"#000000","#000000"
Meta,Vmware,Undirected,34,,6,"#000000","#000000"
Whimsical,Originate,Undirected,38,,3,"#000000","#000000"
Whimsical,Hendeca,Undirected,39,,2,"#000000","#000000"
Whimsical,Webflow,Undirected,40,,30,"#000000","#000000"
Whimsical,Parse,Undirected,41,,4,"#000000","#000000"
Whimsical,Vmware,Undirected,42,,6,"#000000","#000000"
Meta,Thoughtworks,Undirected,43,,4,"#000000","#000000"
Zeuss,Parse,Undirected,49,,2,"#000000","#000000"
Sberbank,Webflow,Undirected,50,,5,"#000000","#000000"
Sberbank,Parse,Undirected,51,,16,"#000000","#000000"
Columbia,Parse,Undirected,52,,19,"#000000","#000000"
Parse,Alibaba,Undirected,53,,3,"#000000","#000000"
Hyperscience,Alphabet,Undirected,59,,6,"#000000","#000000"
Alphabet,MobileIron,Undirected,60,,8092,"#000000","#000000"
Alphabet,IBM,Undirected,62,,1657,"#000000","#000000"
MobileIron,IBM,Undirected,63,,39,"#000000","#000000"
IBM,IBM,Undirected,64,,2,"#000000","#000000"
Microsoft,IBM,Undirected,65,,5,"#000000","#000000"
Intel,IBM,Undirected,66,,33,"#000000","#000000"
Meta,IBM,Undirected,67,,2,"#000000","#000000"
minds,IBM,Undirected,68,,5,"#000000","#000000"
Alphabet,Microsoft,Undirected,70,,4090,"#000000","#000000"
MobileIron,Microsoft,Undirected,71,,30,"#000000","#000000"
Microsoft,Microsoft,Undirected,72,,102,"#000000","#000000"
Ucsd,Microsoft,Undirected,73,,4,"#000000","#000000"
Samsung,Microsoft,Undirected,74,,14,"#000000","#000000"
Alphabet,Intel,Undirected,76,,11616,"#000000","#000000"
MobileIron,Intel,Undirected,77,,312,"#000000","#000000"
Microsoft,Intel,Undirected,78,,82,"#000000","#000000"
Intel,Intel,Undirected,79,,1613,"#000000","#000000"
iqt,Intel,Undirected,80,,1,"#000000","#000000"
Alphabet,Nvidia,Undirected,82,,1893,"#000000","#000000"
MobileIron,Nvidia,Undirected,83,,31,"#000000","#000000"
Intel,Nvidia,Undirected,84,,74,"#000000","#000000"
Nvidia,Nvidia,Undirected,85,,9,"#000000","#000000"
Alphabet,RedHat,Undirected,87,,496,"#000000","#000000"
MobileIron,RedHat,Undirected,88,,5,"#000000","#000000"
Nvidia,RedHat,Undirected,89,,1,"#000000","#000000"
Alphabet,Naver,Undirected,92,,85,"#000000","#000000"
MobileIron,Naver,Undirected,93,,1,"#000000","#000000"
Microsoft,Naver,Undirected,94,,1,"#000000","#000000"
Alphabet,Codeplay,Undirected,95,,2852,"#000000","#000000"
MobileIron,Codeplay,Undirected,96,,61,"#000000","#000000"
IBM,Codeplay,Undirected,97,,13,"#000000","#000000"
Microsoft,Codeplay,Undirected,98,,13,"#000000","#000000"
Intel,Codeplay,Undirected,99,,123,"#000000","#000000"
Nvidia,Codeplay,Undirected,100,,6,"#000000","#000000"
Codeplay,Codeplay,Undirected,101,,2,"#000000","#000000"
Ucsd,Codeplay,Undirected,102,,2,"#000000","#000000"
Meta,Codeplay,Undirected,103,,2,"#000000","#000000"
Duke,Codeplay,Undirected,104,,1,"#000000","#000000"
Alphabet,Hello,Undirected,107,,26,"#000000","#000000"
Alphabet,Ucsd,Undirected,108,,1275,"#000000","#000000"
MobileIron,Ucsd,Undirected,109,,15,"#000000","#000000"
IBM,Ucsd,Undirected,110,,4,"#000000","#000000"
Intel,Ucsd,Undirected,111,,1,"#000000","#000000"
RedHat,Ucsd,Undirected,112,,2,"#000000","#000000"
Alphabet,Ku,Undirected,115,,35,"#000000","#000000"
Alphabet,Samsung,Undirected,116,,33,"#000000","#000000"
Alphabet,Meta,Undirected,117,,1461,"#000000","#000000"
MobileIron,Meta,Undirected,118,,6,"#000000","#000000"
Intel,Meta,Undirected,119,,1,"#000000","#000000"
Hello,Meta,Undirected,120,,2,"#000000","#000000"
Ucsd,Meta,Undirected,121,,3,"#000000","#000000"
Alphabet,Tensorflow,Undirected,122,,335734,"#000000","#000000"
MobileIron,Tensorflow,Undirected,123,,5232,"#000000","#000000"
IBM,Tensorflow,Undirected,124,,811,"#000000","#000000"
Microsoft,Tensorflow,Undirected,125,,1828,"#000000","#000000"
Intel,Tensorflow,Undirected,126,,6986,"#000000","#000000"
Nvidia,Tensorflow,Undirected,127,,967,"#000000","#000000"
RedHat,Tensorflow,Undirected,128,,261,"#000000","#000000"
Naver,Tensorflow,Undirected,129,,22,"#000000","#000000"
Codeplay,Tensorflow,Undirected,130,,1425,"#000000","#000000"
Hello,Tensorflow,Undirected,131,,22,"#000000","#000000"
Hyperscience,Tensorflow,Undirected,132,,8,"#000000","#000000"
Ucsd,Tensorflow,Undirected,133,,768,"#000000","#000000"
Ku,Tensorflow,Undirected,134,,12,"#000000","#000000"
Samsung,Tensorflow,Undirected,135,,16,"#000000","#000000"
Meta,Tensorflow,Undirected,136,,576,"#000000","#000000"
Alphabet,Duke,Undirected,138,,152,"#000000","#000000"
MobileIron,Duke,Undirected,139,,1,"#000000","#000000"
IBM,Duke,Undirected,140,,1,"#000000","#000000"
Tensorflow,Duke,Undirected,141,,50,"#000000","#000000"
Alphabet,sancare,Undirected,143,,9,"#000000","#000000"
Tensorflow,sancare,Undirected,144,,2,"#000000","#000000"
Tensorflow,kikatech,Undirected,145,,3,"#000000","#000000"
Alphabet,nod-labs,Undirected,146,,56,"#000000","#000000"
Tensorflow,nod-labs,Undirected,147,,50,"#000000","#000000"
Alphabet,Baidu,Undirected,149,,6,"#000000","#000000"
Tensorflow,Baidu,Undirected,150,,5,"#000000","#000000"
Alphabet,Uber,Undirected,151,,9,"#000000","#000000"
MobileIron,Uber,Undirected,152,,1,"#000000","#000000"
Tensorflow,Uber,Undirected,153,,5,"#000000","#000000"
Alphabet,Chinamobile,Undirected,155,,9,"#000000","#000000"
Tensorflow,Chinamobile,Undirected,156,,2,"#000000","#000000"
Alphabet,rutgers,Undirected,157,,6,"#000000","#000000"
Tensorflow,rutgers,Undirected,158,,1,"#000000","#000000"
Alphabet,brainscode,Undirected,159,,10,"#000000","#000000"
