Id,Label,color,Degree,Size,Color
algorithmia,,"#000000",4,3.784091,"#000000"
Alibaba,,"#000000",2,2.670455,"#000000"
allenai,,"#000000",2,2.670455,"#000000"
Alphabet,,"#F00000",75,43.318184,"#f00000"
alum,,"#000000",2,2.670455,"#000000"
appliedbrainresearch,,"#000000",5,4.340909,"#000000"
Ardentacademy,,"#000000",1,2.113636,"#000000"
arterys,,"#000000",0,1,"#000000"
Baidu,,"#000000",2,2.113636,"#000000"
bayesgroup,,"#000000",4,3.784091,"#000000"
Berkeley,,"#000000",3,2.670455,"#000000"
berkeley,,"#000000",0,1,"#000000"
bitfusion,,"#000000",0,1,"#000000"
brainscode,,"#000000",2,2.670455,"#000000"
Broadcom,,"#000000",4,3.784091,"#000000"
butterflynetinc,,"#000000",2,2.670455,"#000000"
Caelum,,"#000000",0,1.556818,"#000000"
caicloud,,"#000000",3,3.227273,"#000000"
Chinamobile,,"#000000",3,3.227273,"#000000"
civisanalytics,,"#000000",0,1,"#000000"
clarifai,,"#000000",0,1,"#000000"
Codeplay,,"#000000",18,11.579546,"#000000"
Columbia,,"#000000",2,2.670455,"#000000"
columbia,,"#000000",2,2.670455,"#000000"
coursera,,"#000000",4,3.784091,"#000000"
cs,,"#000000",6,4.897727,"#000000"
cse,,"#000000",0,1,"#000000"
cvisionlab,,"#000000",5,4.340909,"#000000"
delftrobotics,,"#000000",4,3.784091,"#000000"
designcondition,,"#000000",0,1,"#000000"
digitalreasoning,,"#000000",2,2.113636,"#000000"
Duke,,"#000000",7,5.454545,"#000000"
elementai,,"#000000",4,3.784091,"#000000"
gatech,,"#000000",0,1,"#000000"
Github,,"#000000",1,2.113636,"#000000"
gmu,,"#000000",3,3.227273,"#000000"
graphcore,,"#000000",3,3.227273,"#000000"
Hello,,"#000000",3,3.227273,"#000000"
Hendeca,,"#000000",2,2.670455,"#000000"
Hmudesign,,"#000000",2,2.670455,"#000000"
hpcnt,,"#000000",2,2.113636,"#000000"
huawei,,"#000000",0,1,"#000000"
Hyperscience,,"#000000",3,3.227273,"#000000"
IBM,,"#7030A0",17,11.022727,"#7030a0"
Ibotta,,"#000000",4,3.784091,"#000000"
imperial,,"#000000",1,2.113636,"#000000"
Intel,,"#00B050",17,11.022727,"#00b050"
iqt,,"#000000",3,3.227273,"#000000"
itseez3d,,"#000000",5,4.340909,"#000000"
jwpepper,,"#000000",3,3.227273,"#000000"
kikatech,,"#000000",1,1.556818,"#000000"
kth,,"#000000",0,1,"#000000"
Ku,,"#000000",3,3.227273,"#000000"
Leadgenius,,"#000000",0,1.556818,"#000000"
Liferay,,"#000000",3,3.227273,"#000000"
mellanox,,"#000000",3,3.227273,"#000000"
merck,,"#000000",0,1,"#000000"
Meta,,"#FFFF00",27,16.590908,"#ffff00"
Microsoft,,"#000000",19,12.136364,"#000000"
minds,,"#000000",8,6.011364,"#000000"
Mit,,"#000000",3,3.227273,"#000000"
mit,,"#000000",5,4.340909,"#000000"
MobileIron,,"#0070C0",26,16.034092,"#0070c0"
mongoosemetrics,,"#000000",0,1,"#000000"
naml,,"#000000",8,6.011364,"#000000"
Naver,,"#000000",4,3.784091,"#000000"
Near,,"#000000",5,4.340909,"#000000"
nervana-bdw30,,"#000000",4,3.784091,"#000000"
nod-labs,,"#000000",2,2.670455,"#000000"
Ntu,,"#000000",5,4.340909,"#000000"
numenta,,"#000000",0,1,"#000000"
Nvidia,,"#47D359",12,8.238636,"#47d359"
nyu,,"#000000",3,3.227273,"#000000"
Orange,,"#000000",1,2.113636,"#000000"
orange,,"#000000",2,2.670455,"#000000"
Originate,,"#000000",2,2.670455,"#000000"
Parse,,"#000000",7,5.454545,"#000000"
patsnap,,"#000000",2,2.670455,"#000000"
perfect,,"#000000",3,3.227273,"#000000"
Pku,,"#000000",3,3.227273,"#000000"
Practo,,"#000000",1,2.113636,"#000000"
purdue,,"#000000",4,3.784091,"#000000"
RedHat,,"#000000",8,6.011364,"#000000"
Rutgers,,"#000000",0,1.556818,"#000000"
rutgers,,"#000000",2,2.113636,"#000000"
Samsung,,"#000000",5,4.340909,"#000000"
sancare,,"#000000",2,2.113636,"#000000"
Sberbank,,"#000000",3,3.227273,"#000000"
Sheetjs,,"#000000",1,2.113636,"#000000"
sheetjs,,"#000000",0,1,"#000000"
snu,,"#000000",29,17.704546,"#000000"
stanford,,"#000000",3,3.227273,"#000000"
stylight,,"#000000",3,2.670455,"#000000"
Tensorflow,,"#FFC000",69,39.977272,"#ffc000"
Thoughtworks,,"#000000",1,2.113636,"#000000"
transcendrobotics,,"#000000",0,1,"#000000"
ualberta,,"#000000",0,1,"#000000"
Uber,,"#000000",3,3.227273,"#000000"
ucc,,"#000000",3,2.670455,"#000000"
uci,,"#000000",2,2.670455,"#000000"
Ucsd,,"#000000",13,8.795454,"#000000"
umich,,"#000000",7,5.454545,"#000000"
uni-duesseldorf,,"#000000",0,1,"#000000"
unifr,,"#000000",2,2.670455,"#000000"
uoit,,"#000000",1,2.113636,"#000000"
users,,"#000000",6,4.897727,"#000000"
utexas,,"#000000",4,3.784091,"#000000"
Vmware,,"#000000",2,2.670455,"#000000"
Webflow,,"#000000",3,3.227273,"#000000"
Whimsical,,"#000000",7,5.454545,"#000000"
wiser,,"#000000",0,1,"#000000"
xldrx,,"#000000",2,2.670455,"#000000"
yodlee,,"#000000",0,1,"#000000"
zenior,,"#000000",0,1,"#000000"
Zeuss,,"#000000",2,2.670455,"#000000"
