Id,Label,color,Size,Color
adalogics,,"#000000",8.603448,"#000000"
agentic,,"#000000",1.844828,"#000000"
Alphabet,,"#F00000",48.310345,"#f00000"
amazon,,"#000000",12.827586,"#000000"
AMD,,"#777777",20.431034,"#777777"
Apple,,"#000000",15.362069,"#000000"
arm,,"#000000",19.586206,"#000000"
Askattest,,"#000000",1.844828,"#000000"
berkeley,,"#000000",3.534483,"#000000"
butterflynetinc,,"#000000",11.137932,"#000000"
Bytedance,,"#000000",2.689655,"#000000"
bytedance,,"#000000",10.293103,"#000000"
Callstack,,"#000000",2.689655,"#000000"
Canonical,,"#000000",2.689655,"#000000"
capgemini,,"#000000",5.224138,"#000000"
cern,,"#000000",4.379311,"#000000"
codesandbox.io,,"#000000",3.534483,"#000000"
Collabora,,"#000000",2.689655,"#000000"
dfki,,"#000000",4.379311,"#000000"
engflow,,"#000000",10.293103,"#000000"
Ensostudio,,"#000000",3.534483,"#000000"
fau,,"#000000",3.534483,"#000000"
fraunhofer,,"#000000",2.689655,"#000000"
goinc,,"#000000",2.689655,"#000000"
graphcore,,"#000000",9.448276,"#000000"
hotmail,,"#000000",4.379311,"#000000"
Hypermob,,"#000000",1.844828,"#000000"
IBM,,"#7030A0",18.741379,"#7030a0"
illinois,,"#000000",2.689655,"#000000"
Intel,,"#00B050",23.810345,"#00b050"
ispras,,"#000000",8.603448,"#000000"
isquaredsoftware.com,,"#000000",4.379311,"#000000"
Kensho,,"#000000",3.534483,"#000000"
Kobalt,,"#000000",3.534483,"#000000"
linaro,,"#000000",14.517241,"#000000"
manabie,,"#000000",3.534483,"#000000"
mathworks,,"#000000",6.068966,"#000000"
Meta,,"#FFFF00",8.603448,"#ffff00"
metu,,"#000000",5.224138,"#000000"
Microsoft,,"#000000",11.137932,"#000000"
MobileIron,,"#0070C0",12.827586,"#0070c0"
motorola,,"#000000",3.534483,"#000000"
Naver,,"#000000",2.689655,"#000000"
nevada,,"#000000",3.534483,"#000000"
nod-labs,,"#000000",5.224138,"#000000"
Nvidia,,"#47D359",25.5,"#47d359"
nxp,,"#000000",3.534483,"#000000"
NYU,,"#000000",4.379311,"#000000"
Oppo,,"#000000",6.068966,"#000000"
Orange,,"#000000",6.068966,"#000000"
ornl,,"#000000",4.379311,"#000000"
polymagelabs,,"#000000",5.224138,"#000000"
rutgers,,"#000000",6.068966,"#000000"
Samsung,,"#000000",2.689655,"#000000"
samsung,,"#000000",5.224138,"#000000"
Shopify,,"#000000",2.689655,"#000000"
sifive,,"#000000",2.689655,"#000000"
snapchat,,"#000000",2.689655,"#000000"
snyk,,"#000000",1,"#000000"
soton,,"#000000",6.913793,"#000000"
spotify,,"#000000",1.844828,"#000000"
supremetech,,"#000000",1.844828,"#000000"
Synology,,"#000000",1.844828,"#000000"
tencent,,"#000000",4.379311,"#000000"
Tensorflow,,"#FFC000",34.793102,"#ffc000"
tu-dresden,,"#000000",8.603448,"#000000"
tum,,"#000000",9.448276,"#000000"
twinsunsolutions,,"#000000",6.068966,"#000000"
users,,"#000000",6.068966,"#000000"
verisilicon,,"#000000",1.844828,"#000000"
xanadu,,"#000000",1.844828,"#000000"
yandex-team,,"#000000",3.534483,"#000000"
Zulip,,"#000000",4.379311,"#000000"
