Id,Label,color,Size,Color
Conceptcoding,,"#000000",1.317152,"#000000"
Citrix,,"#000000",1.317152,"#000000"
Captialone,,"#000000",1.317152,"#000000"
Alphabet,Alphabet,"#F00000",46.035599,"#f00000"
Meta,,"#FFFF00",9.880259,"#ffff00"
Idealist,,"#000000",1.317152,"#000000"
Twitter,,"#000000",1.634304,"#000000"
Synapsestudios,,"#000000",1.475728,"#000000"
Stanford,,"#000000",1.475728,"#000000"
Socialtables,,"#000000",1.317152,"#000000"
Atlassian,,"#000000",1.317152,"#000000"
Apple,,"#000000",4.488673,"#000000"
Webflow,,"#000000",1.634304,"#000000"
Khanacademy,,"#000000",1.317152,"#000000"
Whimsical,,"#000000",2.585761,"#000000"
VCNC,,"#000000",1.158576,"#000000"
Berkeley,,"#000000",1.79288,"#000000"
NoredLink,,"#000000",1.158576,"#000000"
Equin,,"#000000",1.317152,"#000000"
Alibaba,,"#000000",4.964401,"#000000"
Near,,"#000000",2.268609,"#000000"
Tensorflow,,"#FFC000",38.265369,"#ffc000"
RedHat,,"#000000",2.744337,"#000000"
Cern,,"#000000",1.79288,"#000000"
Hyperscience,,"#000000",1.634304,"#000000"
Cm4all,,"#000000",1,"#000000"
Codelab,,"#000000",1.317152,"#000000"
Palantir,,"#000000",1,"#000000"
Solcon,,"#000000",1,"#000000"
Thoughtbot,,"#000000",1,"#000000"
Liferay,,"#000000",1.79288,"#000000"
Hmudesign,,"#000000",1.475728,"#000000"
Orange,,"#000000",2.427185,"#000000"
Parse,,"#000000",2.268609,"#000000"
Sberbank,,"#000000",1.634304,"#000000"
Columbia,,"#000000",1.475728,"#000000"
Zeuss,,"#000000",1.475728,"#000000"
Mit,,"#000000",2.268609,"#000000"
Ardentacademy,,"#000000",1.317152,"#000000"
Practo,,"#000000",1.317152,"#000000"
Originate,,"#000000",1.475728,"#000000"
Github,,"#000000",1.475728,"#000000"
Hendeca,,"#000000",1.475728,"#000000"
Vmware,,"#000000",1.475728,"#000000"
Thoughtworks,,"#000000",1.317152,"#000000"
Samsung,,"#000000",1.951456,"#000000"
Uber,,"#000000",1.634304,"#000000"
