Source,Target,Type,Id,Label,Weight,color,Color
Conceptcoding,Citrix,Undirected,0,,1,"#000000","#000000"
Conceptcoding,Captialone,Undirected,1,,2,"#000000","#000000"
Citrix,Captialone,Undirected,2,,3,"#000000","#000000"
Alphabet,Alphabet,Undirected,4,,4394572,"#000000","#000000"
Meta,Meta,Undirected,21,,114590,"#000000","#000000"
Meta,Idealist,Undirected,22,,185,"#000000","#000000"
Meta,Webflow,Undirected,23,,2886,"#000000","#000000"
Meta,Khanacademy,Undirected,24,,63,"#000000","#000000"
Meta,Socialtables,Undirected,25,,85,"#000000","#000000"
Meta,Alibaba,Undirected,26,,7,"#000000","#000000"
Meta,Twitter,Undirected,27,,28,"#000000","#000000"
Meta,Atlassian,Undirected,28,,2,"#000000","#000000"
Meta,Synapsestudios,Undirected,29,,13,"#000000","#000000"
Meta,Whimsical,Undirected,30,,2648,"#000000","#000000"
Meta,Stanford,Undirected,31,,243,"#000000","#000000"
Meta,Berkeley,Undirected,32,,9,"#000000","#000000"
Meta,Apple,Undirected,33,,5,"#000000","#000000"
Meta,Equin,Undirected,34,,4,"#000000","#000000"
Twitter,Synapsestudios,Undirected,35,,1,"#000000","#000000"
Twitter,Apple,Undirected,36,,1,"#000000","#000000"
Whimsical,Stanford,Undirected,37,,4,"#000000","#000000"
Near,Alphabet,Undirected,42,,550,"#000000","#000000"
Near,Tensorflow,Undirected,43,,105,"#000000","#000000"
Near,RedHat,Undirected,44,,146,"#000000","#000000"
Near,Cern,Undirected,45,,61,"#000000","#000000"
Alphabet,Tensorflow,Undirected,46,,2311410,"#000000","#000000"
Alphabet,RedHat,Undirected,47,,520,"#000000","#000000"
Alphabet,Cern,Undirected,48,,12,"#000000","#000000"
Alphabet,Hyperscience,Undirected,49,,9,"#000000","#000000"
Tensorflow,Tensorflow,Undirected,50,,211,"#000000","#000000"
Tensorflow,RedHat,Undirected,51,,263,"#000000","#000000"
Tensorflow,Cern,Undirected,52,,1,"#000000","#000000"
RedHat,Cern,Undirected,54,,4,"#000000","#000000"
Liferay,Orange,Undirected,60,,1,"#000000","#000000"
Liferay,Alphabet,Undirected,61,,18,"#000000","#000000"
Liferay,Hmudesign,Undirected,62,,42,"#000000","#000000"
Alphabet,Hmudesign,Undirected,63,,2,"#000000","#000000"
Meta,Sberbank,Undirected,70,,216,"#000000","#000000"
Meta,Parse,Undirected,71,,207,"#000000","#000000"
Mit,Meta,Undirected,74,,2,"#000000","#000000"
Mit,Whimsical,Undirected,75,,1,"#000000","#000000"
Mit,Parse,Undirected,77,,2,"#000000","#000000"
Meta,Ardentacademy,Undirected,81,,64,"#000000","#000000"
Meta,Practo,Undirected,82,,11,"#000000","#000000"
Meta,Originate,Undirected,83,,16,"#000000","#000000"
Meta,Github,Undirected,84,,40,"#000000","#000000"
Meta,Zeuss,Undirected,85,,4,"#000000","#000000"
Meta,Hendeca,Undirected,86,,15,"#000000","#000000"
Meta,Columbia,Undirected,87,,6,"#000000","#000000"
Meta,Vmware,Undirected,89,,6,"#000000","#000000"
Whimsical,Originate,Undirected,93,,3,"#000000","#000000"
Whimsical,Hendeca,Undirected,94,,2,"#000000","#000000"
Whimsical,Webflow,Undirected,95,,30,"#000000","#000000"
Whimsical,Parse,Undirected,96,,4,"#000000","#000000"
Whimsical,Vmware,Undirected,97,,6,"#000000","#000000"
Meta,Thoughtworks,Undirected,98,,4,"#000000","#000000"
Zeuss,Parse,Undirected,104,,2,"#000000","#000000"
Sberbank,Webflow,Undirected,105,,5,"#000000","#000000"
Sberbank,Parse,Undirected,106,,16,"#000000","#000000"
Columbia,Parse,Undirected,107,,19,"#000000","#000000"
Parse,Alibaba,Undirected,108,,3,"#000000","#000000"
Alphabet,MobileIron,Undirected,115,,72289,"#000000","#000000"
Alphabet,IBM,Undirected,117,,61866,"#000000","#000000"
MobileIron,IBM,Undirected,118,,1873,"#000000","#000000"
IBM,IBM,Undirected,119,,382,"#000000","#000000"
Microsoft,IBM,Undirected,120,,130,"#000000","#000000"
Intel,IBM,Undirected,121,,1093,"#000000","#000000"
Meta,IBM,Undirected,122,,3,"#000000","#000000"
minds,IBM,Undirected,123,,14,"#000000","#000000"
Alphabet,Microsoft,Undirected,125,,9018,"#000000","#000000"
MobileIron,Microsoft,Undirected,126,,75,"#000000","#000000"
Microsoft,Microsoft,Undirected,127,,102,"#000000","#000000"
Ucsd,Microsoft,Undirected,128,,4,"#000000","#000000"
Samsung,Microsoft,Undirected,129,,14,"#000000","#000000"
Alphabet,Intel,Undirected,131,,118501,"#000000","#000000"
MobileIron,Intel,Undirected,132,,3456,"#000000","#000000"
Microsoft,Intel,Undirected,133,,759,"#000000","#000000"
Intel,Intel,Undirected,134,,42837,"#000000","#000000"
iqt,Intel,Undirected,135,,1,"#000000","#000000"
Alphabet,Nvidia,Undirected,137,,256745,"#000000","#000000"
MobileIron,Nvidia,Undirected,138,,1831,"#000000","#000000"
Intel,Nvidia,Undirected,139,,5408,"#000000","#000000"
Nvidia,Nvidia,Undirected,140,,39430,"#000000","#000000"
MobileIron,RedHat,Undirected,143,,5,"#000000","#000000"
Nvidia,RedHat,Undirected,144,,1,"#000000","#000000"
Alphabet,Naver,Undirected,147,,219,"#000000","#000000"
MobileIron,Naver,Undirected,148,,25,"#000000","#000000"
Microsoft,Naver,Undirected,149,,1,"#000000","#000000"
Alphabet,Codeplay,Undirected,150,,2852,"#000000","#000000"
MobileIron,Codeplay,Undirected,151,,61,"#000000","#000000"
IBM,Codeplay,Undirected,152,,13,"#000000","#000000"
Microsoft,Codeplay,Undirected,153,,13,"#000000","#000000"
Intel,Codeplay,Undirected,154,,123,"#000000","#000000"
Nvidia,Codeplay,Undirected,155,,6,"#000000","#000000"
Codeplay,Codeplay,Undirected,156,,2,"#000000","#000000"
Ucsd,Codeplay,Undirected,157,,2,"#000000","#000000"
Meta,Codeplay,Undirected,158,,2,"#000000","#000000"
Duke,Codeplay,Undirected,159,,1,"#000000","#000000"
Alphabet,Hello,Undirected,162,,26,"#000000","#000000"
Alphabet,Ucsd,Undirected,163,,1275,"#000000","#000000"
MobileIron,Ucsd,Undirected,164,,15,"#000000","#000000"
IBM,Ucsd,Undirected,165,,4,"#000000","#000000"
Intel,Ucsd,Undirected,166,,1,"#000000","#000000"
RedHat,Ucsd,Undirected,167,,2,"#000000","#000000"
Alphabet,Ku,Undirected,170,,35,"#000000","#000000"
Alphabet,Samsung,Undirected,171,,63,"#000000","#000000"
Alphabet,Meta,Undirected,172,,1818,"#000000","#000000"
MobileIron,Meta,Undirected,173,,6,"#000000","#000000"
Intel,Meta,Undirected,174,,1,"#000000","#000000"
Hello,Meta,Undirected,175,,2,"#000000","#000000"
Ucsd,Meta,Undirected,176,,3,"#000000","#000000"
MobileIron,Tensorflow,Undirected,178,,26782,"#000000","#000000"
IBM,Tensorflow,Undirected,179,,20611,"#000000","#000000"
Microsoft,Tensorflow,Undirected,180,,3809,"#000000","#000000"
Intel,Tensorflow,Undirected,181,,54795,"#000000","#000000"
Nvidia,Tensorflow,Undirected,182,,67073,"#000000","#000000"
Naver,Tensorflow,Undirected,184,,62,"#000000","#000000"
Codeplay,Tensorflow,Undirected,185,,1425,"#000000","#000000"
Hello,Tensorflow,Undirected,186,,22,"#000000","#000000"
Hyperscience,Tensorflow,Undirected,187,,8,"#000000","#000000"
Ucsd,Tensorflow,Undirected,188,,768,"#000000","#000000"
Ku,Tensorflow,Undirected,189,,12,"#000000","#000000"
Samsung,Tensorflow,Undirected,190,,16,"#000000","#000000"
Meta,Tensorflow,Undirected,191,,614,"#000000","#000000"
Alphabet,Duke,Undirected,193,,152,"#000000","#000000"
MobileIron,Duke,Undirected,194,,1,"#000000","#000000"
IBM,Duke,Undirected,195,,1,"#000000","#000000"
Tensorflow,Duke,Undirected,196,,50,"#000000","#000000"
Alphabet,sancare,Undirected,198,,9,"#000000","#000000"
Tensorflow,sancare,Undirected,199,,2,"#000000","#000000"
Tensorflow,kikatech,Undirected,200,,283,"#000000","#000000"
Alphabet,nod-labs,Undirected,201,,212,"#000000","#000000"
Tensorflow,nod-labs,Undirected,202,,85,"#000000","#000000"
Alphabet,Baidu,Undirected,204,,6,"#000000","#000000"
Tensorflow,Baidu,Undirected,205,,5,"#000000","#000000"
Alphabet,Uber,Undirected,206,,9,"#000000","#000000"
MobileIron,Uber,Undirected,207,,1,"#000000","#000000"
Tensorflow,Uber,Undirected,208,,5,"#000000","#000000"
Alphabet,Chinamobile,Undirected,210,,9,"#000000","#000000"
Tensorflow,Chinamobile,Undirected,211,,2,"#000000","#000000"
Alphabet,rutgers,Undirected,212,,176,"#000000","#000000"
Tensorflow,rutgers,Undirected,213,,118,"#000000","#000000"
Alphabet,brainscode,Undirected,214,,347,"#000000","#000000"
Tensorflow,brainscode,Undirected,215,,87,"#000000","#000000"
Alphabet,Ibotta,Undirected,217,,54,"#000000","#000000"
Tensorflow,Ibotta,Undirected,218,,16,"#000000","#000000"
Alphabet,patsnap,Undirected,221,,22,"#000000","#000000"
Tensorflow,patsnap,Undirected,222,,2,"#000000","#000000"
Alphabet,iqt,Undirected,223,,8,"#000000","#000000"
MobileIron,iqt,Undirected,224,,1,"#000000","#000000"
Alphabet,Ntu,Undirected,226,,56,"#000000","#000000"
MobileIron,Ntu,Undirected,227,,3,"#000000","#000000"
Tensorflow,Ntu,Undirected,228,,34,"#000000","#000000"
snu,Ntu,Undirected,229,,1,"#000000","#000000"
Alphabet,Pku,Undirected,231,,31,"#000000","#000000"
Tensorflow,Pku,Undirected,232,,19,"#000000","#000000"
Alphabet,nervana-bdw30,Undirected,234,,13,"#000000","#000000"
Intel,nervana-bdw30,Undirected,235,,16,"#000000","#000000"
Codeplay,nervana-bdw30,Undirected,236,,1,"#000000","#000000"
Tensorflow,nervana-bdw30,Undirected,237,,9,"#000000","#000000"
Alphabet,hpcnt,Undirected,238,,1,"#000000","#000000"
Tensorflow,hpcnt,Undirected,239,,11,"#000000","#000000"
Alphabet,itseez3d,Undirected,241,,76,"#000000","#000000"
Microsoft,itseez3d,Undirected,242,,28,"#000000","#000000"
Samsung,itseez3d,Undirected,243,,2,"#000000","#000000"
Tensorflow,itseez3d,Undirected,244,,34,"#000000","#000000"
Alphabet,mellanox,Undirected,246,,99,"#000000","#000000"
Nvidia,mellanox,Undirected,247,,35,"#000000","#000000"
Tensorflow,mellanox,Undirected,248,,75,"#000000","#000000"
Alphabet,stylight,Undirected,249,,1632,"#000000","#000000"
Tensorflow,stylight,Undirected,250,,448,"#000000","#000000"
Pku,stylight,Undirected,251,,1,"#000000","#000000"
Alphabet,umich,Undirected,252,,191,"#000000","#000000"
MobileIron,umich,Undirected,253,,6,"#000000","#000000"
Microsoft,umich,Undirected,254,,1,"#000000","#000000"
Intel,umich,Undirected,255,,7,"#000000","#000000"
Nvidia,umich,Undirected,256,,3,"#000000","#000000"
Codeplay,umich,Undirected,257,,1,"#000000","#000000"
Tensorflow,umich,Undirected,258,,63,"#000000","#000000"
Alphabet,minds,Undirected,260,,949,"#000000","#000000"
MobileIron,minds,Undirected,261,,9,"#000000","#000000"
Microsoft,minds,Undirected,262,,7,"#000000","#000000"
Intel,minds,Undirected,263,,54,"#000000","#000000"
Codeplay,minds,Undirected,264,,6,"#000000","#000000"
Meta,minds,Undirected,265,,5,"#000000","#000000"
Tensorflow,minds,Undirected,266,,452,"#000000","#000000"
Alphabet,graphcore,Undirected,268,,7189,"#000000","#000000"
Tensorflow,graphcore,Undirected,269,,2471,"#000000","#000000"
Alphabet,appliedbrainresearch,Undirected,271,,124,"#000000","#000000"
Tensorflow,appliedbrainresearch,Undirected,272,,193,"#000000","#000000"
Ibotta,appliedbrainresearch,Undirected,273,,1,"#000000","#000000"
Alphabet,cs,Undirected,276,,405,"#000000","#000000"
MobileIron,cs,Undirected,277,,2,"#000000","#000000"
Tensorflow,cs,Undirected,278,,94,"#000000","#000000"
snu,cs,Undirected,279,,1,"#000000","#000000"
Alphabet,snu,Undirected,280,,3589,"#000000","#000000"
MobileIron,snu,Undirected,281,,107,"#000000","#000000"
IBM,snu,Undirected,282,,46,"#000000","#000000"
Microsoft,snu,Undirected,283,,1,"#000000","#000000"
Intel,snu,Undirected,284,,97,"#000000","#000000"
Nvidia,snu,Undirected,285,,79,"#000000","#000000"
RedHat,snu,Undirected,286,,3,"#000000","#000000"
Codeplay,snu,Undirected,287,,7,"#000000","#000000"
Hyperscience,snu,Undirected,288,,1,"#000000","#000000"
Ucsd,snu,Undirected,289,,18,"#000000","#000000"
Ku,snu,Undirected,290,,3,"#000000","#000000"
Tensorflow,snu,Undirected,291,,2257,"#000000","#000000"
Duke,snu,Undirected,292,,1,"#000000","#000000"
graphcore,snu,Undirected,293,,2,"#000000","#000000"
appliedbrainresearch,snu,Undirected,294,,2,"#000000","#000000"
snu,snu,Undirected,295,,1,"#000000","#000000"
Alphabet,gmu,Undirected,297,,62,"#000000","#000000"
Tensorflow,gmu,Undirected,298,,25,"#000000","#000000"
snu,gmu,Undirected,299,,1,"#000000","#000000"
Alphabet,Broadcom,Undirected,302,,272,"#000000","#000000"
Codeplay,Broadcom,Undirected,303,,6,"#000000","#000000"
Tensorflow,Broadcom,Undirected,304,,294,"#000000","#000000"
snu,Broadcom,Undirected,305,,3,"#000000","#000000"
Alphabet,perfect,Undirected,306,,2,"#000000","#000000"
RedHat,perfect,Undirected,307,,1,"#000000","#000000"
Tensorflow,perfect,Undirected,308,,5,"#000000","#000000"
Alphabet,imperial,Undirected,311,,4,"#000000","#000000"
Alphabet,xldrx,Undirected,313,,153,"#000000","#000000"
Tensorflow,xldrx,Undirected,314,,36,"#000000","#000000"
Alphabet,mit,Undirected,315,,59,"#000000","#000000"
MobileIron,mit,Undirected,316,,2,"#000000","#000000"
Nvidia,mit,Undirected,317,,1,"#000000","#000000"
Tensorflow,mit,Undirected,318,,47,"#000000","#000000"
snu,mit,Undirected,319,,1,"#000000","#000000"
Alphabet,ucc,Undirected,321,,4,"#000000","#000000"
MobileIron,ucc,Undirected,322,,1,"#000000","#000000"
Tensorflow,ucc,Undirected,323,,2,"#000000","#000000"
Alphabet,nyu,Undirected,325,,2306,"#000000","#000000"
Tensorflow,nyu,Undirected,326,,331,"#000000","#000000"
cs,nyu,Undirected,327,,1,"#000000","#000000"
Alphabet,allenai,Undirected,329,,20,"#000000","#000000"
Tensorflow,allenai,Undirected,330,,15,"#000000","#000000"
Alphabet,stanford,Undirected,332,,19,"#000000","#000000"
Tensorflow,stanford,Undirected,333,,4,"#000000","#000000"
Chinamobile,stanford,Undirected,334,,1,"#000000","#000000"
Alphabet,uci,Undirected,336,,2,"#000000","#000000"
Tensorflow,uci,Undirected,337,,2,"#000000","#000000"
Alphabet,caicloud,Undirected,339,,54,"#000000","#000000"
RedHat,caicloud,Undirected,340,,1,"#000000","#000000"
Tensorflow,caicloud,Undirected,341,,25,"#000000","#000000"
Alphabet,naml,Undirected,342,,1951,"#000000","#000000"
MobileIron,naml,Undirected,343,,27,"#000000","#000000"
IBM,naml,Undirected,344,,13,"#000000","#000000"
Microsoft,naml,Undirected,345,,30,"#000000","#000000"
Intel,naml,Undirected,346,,24,"#000000","#000000"
Samsung,naml,Undirected,347,,2,"#000000","#000000"
Tensorflow,naml,Undirected,348,,544,"#000000","#000000"
itseez3d,naml,Undirected,349,,4,"#000000","#000000"
Alphabet,elementai,Undirected,352,,54,"#000000","#000000"
MobileIron,elementai,Undirected,353,,3,"#000000","#000000"
Tensorflow,elementai,Undirected,354,,33,"#000000","#000000"
IBM,elementai,Undirected,355,,1,"#000000","#000000"
Alphabet,digitalreasoning,Undirected,356,,4,"#000000","#000000"
Tensorflow,digitalreasoning,Undirected,357,,1,"#000000","#000000"
Alphabet,alum,Undirected,358,,77,"#000000","#000000"
Tensorflow,alum,Undirected,359,,16,"#000000","#000000"
Alphabet,delftrobotics,Undirected,361,,52,"#000000","#000000"
Tensorflow,delftrobotics,Undirected,362,,15,"#000000","#000000"
Ibotta,delftrobotics,Undirected,363,,1,"#000000","#000000"
appliedbrainresearch,delftrobotics,Undirected,364,,1,"#000000","#000000"
Alphabet,columbia,Undirected,366,,12,"#000000","#000000"
Tensorflow,columbia,Undirected,367,,3,"#000000","#000000"
Alphabet,butterflynetinc,Undirected,370,,104,"#000000","#000000"
Tensorflow,butterflynetinc,Undirected,371,,41,"#000000","#000000"
Alphabet,users,Undirected,372,,578,"#000000","#000000"
MobileIron,users,Undirected,373,,6,"#000000","#000000"
IBM,users,Undirected,374,,2,"#000000","#000000"
Microsoft,users,Undirected,375,,1,"#000000","#000000"
Ucsd,users,Undirected,376,,3,"#000000","#000000"
Tensorflow,users,Undirected,377,,65,"#000000","#000000"
Alphabet,coursera,Undirected,379,,56,"#000000","#000000"
Microsoft,coursera,Undirected,380,,1,"#000000","#000000"
Ucsd,coursera,Undirected,381,,3,"#000000","#000000"
Tensorflow,coursera,Undirected,382,,20,"#000000","#000000"
Alphabet,orange,Undirected,385,,7,"#000000","#000000"
Tensorflow,orange,Undirected,386,,5,"#000000","#000000"
Alphabet,Berkeley,Undirected,387,,10,"#000000","#000000"
Tensorflow,Berkeley,Undirected,388,,4,"#000000","#000000"
snu,Berkeley,Undirected,389,,1,"#000000","#000000"
Alphabet,jwpepper,Undirected,391,,16,"#000000","#000000"
Tensorflow,jwpepper,Undirected,392,,4,"#000000","#000000"
snu,jwpepper,Undirected,393,,2,"#000000","#000000"
Alphabet,purdue,Undirected,395,,18,"#000000","#000000"
Meta,purdue,Undirected,396,,2,"#000000","#000000"
Tensorflow,purdue,Undirected,397,,8,"#000000","#000000"
snu,purdue,Undirected,398,,1,"#000000","#000000"
Alphabet,bayesgroup,Undirected,400,,27,"#000000","#000000"
IBM,bayesgroup,Undirected,401,,8,"#000000","#000000"
Tensorflow,bayesgroup,Undirected,402,,13,"#000000","#000000"
snu,bayesgroup,Undirected,403,,2,"#000000","#000000"
Alphabet,cvisionlab,Undirected,404,,48,"#000000","#000000"
MobileIron,cvisionlab,Undirected,405,,3,"#000000","#000000"
Tensorflow,cvisionlab,Undirected,406,,33,"#000000","#000000"
Ntu,cvisionlab,Undirected,407,,1,"#000000","#000000"
snu,cvisionlab,Undirected,408,,1,"#000000","#000000"
Codeplay,Near,Undirected,412,,2,"#000000","#000000"
Duke,Near,Undirected,414,,2,"#000000","#000000"
snu,Near,Undirected,415,,2,"#000000","#000000"
Alphabet,unifr,Undirected,416,,74,"#000000","#000000"
Tensorflow,unifr,Undirected,417,,56,"#000000","#000000"
Alphabet,utexas,Undirected,419,,62,"#000000","#000000"
MobileIron,utexas,Undirected,420,,2,"#000000","#000000"
Tensorflow,utexas,Undirected,421,,12,"#000000","#000000"
cs,utexas,Undirected,422,,1,"#000000","#000000"
Alphabet,algorithmia,Undirected,424,,46,"#000000","#000000"
Ucsd,algorithmia,Undirected,425,,4,"#000000","#000000"
Tensorflow,algorithmia,Undirected,426,,23,"#000000","#000000"
snu,algorithmia,Undirected,427,,1,"#000000","#000000"
Alphabet,uoit,Undirected,430,,9,"#000000","#000000"
Sheetjs,Microsoft,Undirected,434,,1,"#000000","#000000"
Illionois,Orange,Undirected,441,,1,"#000000","#000000"
Codelab,Liferay,Undirected,443,,1,"#000000","#000000"
Alphabet,Diagnosia,Undirected,446,,88,"#000000","#000000"
Smartface,Meta,Undirected,450,,337,"#000000","#000000"
Adobe,Meta,Undirected,451,,33,"#000000","#000000"
Humu,Meta,Undirected,452,,26,"#000000","#000000"
Meta,Microsoft,Undirected,458,,17,"#000000","#000000"
Github,Whimsical,Undirected,461,,1,"#000000","#000000"
Meta,Naver,Undirected,464,,71,"#000000","#000000"
Meta,Screen,Undirected,468,,1,"#000000","#000000"
grailbio,Alphabet,Undirected,469,,3,"#000000","#000000"
noble,Nvidia,Undirected,474,,13,"#000000","#000000"
IBM,Nvidia,Undirected,475,,1301,"#000000","#000000"
stylight,Nvidia,Undirected,476,,16,"#000000","#000000"
dosc,Nvidia,Undirected,477,,4,"#000000","#000000"
dfki,Intel,Undirected,480,,5,"#000000","#000000"
realityengines,Intel,Undirected,481,,1,"#000000","#000000"
ARM,Intel,Undirected,482,,7,"#000000","#000000"
criteo,Intel,Undirected,483,,8,"#000000","#000000"
noble,Intel,Undirected,484,,5,"#000000","#000000"
ucm,Intel,Undirected,485,,3,"#000000","#000000"
polymagelabs,Intel,Undirected,486,,15,"#000000","#000000"
Alphabet,dfki,Undirected,488,,3714,"#000000","#000000"
dfki,dfki,Undirected,489,,188,"#000000","#000000"
Alphabet,realityengines,Undirected,490,,89,"#000000","#000000"
Alphabet,ARM,Undirected,515,,9400,"#000000","#000000"
ARM,MobileIron,Undirected,519,,4,"#000000","#000000"
Alphabet,criteo,Undirected,520,,274,"#000000","#000000"
IBM,criteo,Undirected,521,,9,"#000000","#000000"
brainscode,criteo,Undirected,522,,1,"#000000","#000000"
Alphabet,fizyr,Undirected,523,,207,"#000000","#000000"
MobileIron,fizyr,Undirected,524,,10,"#000000","#000000"
IBM,fizyr,Undirected,525,,1,"#000000","#000000"
Alphabet,noble,Undirected,526,,308,"#000000","#000000"
MobileIron,noble,Undirected,527,,73,"#000000","#000000"
Alphabet,ucm,Undirected,528,,334,"#000000","#000000"
dfki,ucm,Undirected,529,,2,"#000000","#000000"
Alphabet,polymagelabs,Undirected,530,,1438,"#000000","#000000"
dfki,polymagelabs,Undirected,531,,9,"#000000","#000000"
Alphabet,Synopsys,Undirected,533,,35,"#000000","#000000"
Alphabet,mobvoi,Undirected,534,,211,"#000000","#000000"
Alphabet,goilluminate,Undirected,535,,40,"#000000","#000000"
Alphabet,AMD,Undirected,536,,67113,"#000000","#000000"
Nvidia,AMD,Undirected,537,,4959,"#000000","#000000"
Intel,AMD,Undirected,538,,1484,"#000000","#000000"
dfki,AMD,Undirected,539,,10,"#000000","#000000"
MobileIron,AMD,Undirected,541,,424,"#000000","#000000"
AMD,AMD,Undirected,542,,929,"#000000","#000000"
Huawei,AMD,Undirected,543,,21,"#000000","#000000"
Graphcore,AMD,Undirected,544,,20,"#000000","#000000"
IBM,AMD,Undirected,545,,210,"#000000","#000000"
spotify,AMD,Undirected,546,,2,"#000000","#000000"
hello,AMD,Undirected,547,,2,"#000000","#000000"
Alphabet,Huawei,Undirected,548,,12242,"#000000","#000000"
Synopsys,Huawei,Undirected,549,,12,"#000000","#000000"
ARM,Huawei,Undirected,551,,109,"#000000","#000000"
MobileIron,Huawei,Undirected,552,,62,"#000000","#000000"
